软件工程师,job_id,job_count,job_name,tier2
738,493,462,地勤人员,
739,27,459,IT技术支持/维护经理,
740,64,458,个人业务客户经理,
741,777,457,律师,
742,234,456,健身顾问/教练,
743,1821,455,食品加工/处理,
744,254,450,公关经理/主管,
745,361,448,医疗器械市场推广,
746,277,447,内容运营,
747,583,446,审核员,
748,1296,445,督导/巡店,
749,652,445,工业设计,
750,20,442,IOS开发工程师,
751,1449,442,美容顾问(BA),
752,61,442,业务跟单经理,
753,1584,441,语音/视频/图形,
754,213,441,保险经纪人,
755,454,441,售前/售后技术支持主管,
756,841,439,手机应用开发工程师,
757,1202,438,班车司机,
758,217,437,保险顾问,
759,1570,436,设备管理维护,
760,1500,435,药品研发,
761,1607,435,财务顾问,
762,1330,431,空调/热能工程师,
763,701,431,市场营销主管,
764,654,431,工厂经理/厂长,
765,857,430,技术文员/助理,
766,440,427,咨询经理/主管,
767,1445,425,美容整形师,
768,821,425,房地产客服,
769,1650,424,软件UI设计师/工程师,
770,145,423,企业文化/员工关系/工会管理,
771,1361,422,经纪人/星探,
772,920,421,数据分析师,
773,203,418,保险培训师,
774,1047,416,汽车定损/车险理赔,
775,1136,416,烧烤师,
776,373,414,医疗管理人员,
777,759,412,建筑工程师/总工,
778,1000,411,材料工程师,
779,631,410,导医,
780,1443,409,美容师/美甲师,
781,743,408,店铺推广,
782,1168,407,物流主管,
783,250,407,公关专员/助理,
784,1402,406,网站推广,
785,1510,406,薪酬/绩效/员工关系,
786,1248,406,电子/电器工程师,
787,826,405,房地产评估,
788,590,403,客户关系/投诉协调人员,
789,843,402,手机软件开发工程师,
790,359,401,医学影像/放射科医师,
791,104,401,产品总监,
792,830,399,房地产销售主管,
793,1210,398,瑜伽教练,
794,147,398,企业策划,
795,1217,396,生产总监,
796,1131,396,激光/光电子技术,
797,811,394,房产店员/助理,
798,1227,394,生产运营管理,
799,95,389,产品/包装设计,
800,813,389,房产开发/策划,
801,1077,389,法务经理,
802,1123,387,游戏策划师,
803,1312,387,硬件测试,
804,1569,387,设备主管,
805,1122,386,游戏策划,
806,988,383,机械制图员,
807,1538,383,装配技师,
808,1523,382,行政总监,
809,873,382,护工,
810,389,381,医院管理人员,
811,709,380,幕墙工程师,
812,1440,380,美容培训师/导师,
813,744,380,店铺文案编辑,
814,149,379,企划经理/主管,
815,1119,378,游戏测试,
816,283,377,农艺师/花艺师,
817,1026,377,水利/水电工程师,
818,1095,377,测试/可靠性工程师,
819,867,376,投资银行业务,
820,174,376,供应商管理,
821,123,375,人事行政其他,
822,1649,374,轮胎工,
823,282,373,农艺师,
824,980,371,服装设计,
825,499,371,城市规划与设计,
826,975,371,服装/纺织品/皮革销售,
827,1409,370,网站运营总监,
828,1221,369,生产管理,
829,547,369,奢侈品业务,
830,555,368,婚礼策划师,
831,9,368,C语言开发工程师,
832,754,367,建筑制图/模型/渲染,
833,1059,366,汽车装饰美容,
834,1252,366,电子/电器维修工程师/技师,
835,865,365,投资经理,
836,556,364,媒介专员,
837,1161,362,物料主管/专员,
838,572,362,安检员,
839,436,362,咨询师,
840,448,361,品牌经理,
841,218,360,保险顾问/财务规划师,
842,1502,359,药房管理/药剂师,
843,727,359,广告制作执行,
844,653,359,工厂厂长/副厂长,
845,1125,358,游泳教练,
846,100,358,产品专员/助理,
847,753,355,建筑制图,
848,56,353,业务分析经理/主管,
849,990,351,机械工艺/制程工程师,
850,219,351,信审核查,
851,1486,351,艺术/设计总监,
852,1508,350,薪资福利专员/助理,
853,929,347,数控编程,
854,1601,346,财务分析经理/主管,
855,704,345,市场调研与分析,
856,721,344,广告创意/设计主管/专员,
857,1837,341,首席运营官COO,
858,645,341,嵌入式硬件开发,
859,97,340,产品/品牌主管,
860,1373,339,绩效考核经理/主管,
861,148,339,企业策划人员,
862,807,337,成本经理/成本主管,
863,177,337,供应链管理,
864,2,336,4S店经理/维修站经理,
865,659,336,工程/设备经理,
866,1262,333,电子商务总监,
867,1713,332,针灸/推拿,
868,675,332,工艺设计,
869,1165,331,物流/仓储调度,
870,1847,330,高级业务跟单,
871,1372,330,绩效考核专员/助理,
872,1148,330,物业机电维修工,
873,90,330,互联网软件工程师,
874,521,329,外科医生,
875,5,329,CEO/总裁/总经理,
876,1580,328,证券分析师,
877,925,328,数据运营,
878,1276,327,电池/电源开发,
879,992,326,机械研发工程师,
880,377,326,医药学检验,
881,363,325,医疗器械注册,
